date,code,open,high,low,close,volume,amount,turn,pctChg
2025-07-01,sz.002642,7.8000000000,7.8500000000,7.7100000000,7.7700000000,15733650,122388890.5000,2.378200,-0.512200
2025-07-02,sz.002642,7.7500000000,7.7500000000,7.6000000000,7.6500000000,16973400,129977701.5000,2.565600,-1.544400
2025-07-03,sz.002642,7.6500000000,7.7500000000,7.6500000000,7.7000000000,14700450,113420867.0000,2.222000,0.653600
2025-07-04,sz.002642,7.6800000000,7.7500000000,7.6100000000,7.6500000000,16475000,126706419.5000,2.490200,-0.649400
2025-07-07,sz.002642,7.6200000000,7.7100000000,7.6100000000,7.6500000000,11316300,86589742.0000,1.710500,0.000000
2025-07-08,sz.002642,7.6400000000,7.7700000000,7.6300000000,7.7500000000,15917300,122708520.0000,2.406000,1.307200
2025-07-09,sz.002642,7.7700000000,7.8200000000,7.7300000000,7.7700000000,15995400,124310524.0000,2.417800,0.258100
2025-07-10,sz.002642,7.7400000000,7.9400000000,7.7200000000,7.9100000000,33152683,260839892.5300,5.011100,1.801800
2025-07-11,sz.002642,7.8900000000,8.0700000000,7.8400000000,8.0600000000,38346000,305584522.9100,5.796100,1.896300
2025-07-14,sz.002642,8.0600000000,8.1800000000,7.9400000000,7.9900000000,25495007,204064504.0200,3.853700,-0.868500
2025-07-15,sz.002642,7.9500000000,8.0200000000,7.8300000000,7.9800000000,24136659,191205314.0100,3.648300,-0.125200
2025-07-16,sz.002642,7.9500000000,8.0500000000,7.9000000000,7.9300000000,16799500,133896967.0000,2.539300,-0.626600
2025-07-17,sz.002642,7.9200000000,8.0100000000,7.8800000000,7.9600000000,17487585,139104088.7500,2.643300,0.378300
2025-07-18,sz.002642,7.9500000000,8.0500000000,7.9300000000,7.9700000000,16060750,128333016.0000,2.427600,0.125600
2025-07-21,sz.002642,7.9400000000,8.0200000000,7.9400000000,8.0000000000,17902800,142870813.0000,2.706100,0.376400
2025-07-22,sz.002642,8.0000000000,8.1500000000,7.9200000000,7.9600000000,29620359,236870429.3000,4.477200,-0.500000
2025-07-23,sz.002642,7.9100000000,7.9400000000,7.8100000000,7.8200000000,22235125,174855658.7500,3.360900,-1.758800
2025-07-24,sz.002642,7.8000000000,7.9500000000,7.7800000000,7.9500000000,16263651,128224652.8900,2.458300,1.662400
2025-07-25,sz.002642,7.9600000000,8.1500000000,7.9500000000,8.0500000000,31002085,249879594.9000,4.686100,1.257900
2025-07-28,sz.002642,8.0500000000,8.0700000000,7.9500000000,7.9900000000,18363050,146734029.9200,2.775600,-0.745300
2025-07-29,sz.002642,7.9900000000,8.0000000000,7.8600000000,7.9700000000,15229652,120453750.8800,2.302000,-0.250300
2025-07-30,sz.002642,7.9500000000,7.9600000000,7.7700000000,7.8400000000,18373539,144432479.7600,2.777200,-1.631100
2025-07-31,sz.002642,7.8100000000,7.9800000000,7.8000000000,7.8200000000,19489848,153816565.8800,2.946000,-0.255100
2025-08-01,sz.002642,7.8300000000,8.0400000000,7.7400000000,7.9600000000,22533500,177692355.0000,3.406000,1.790300
2025-08-04,sz.002642,7.8900000000,8.0400000000,7.8600000000,8.0300000000,20630950,164865666.0000,3.118400,0.879400
2025-08-05,sz.002642,8.0500000000,8.0500000000,7.9700000000,8.0400000000,16090159,128901081.0000,2.432100,0.124500
2025-08-06,sz.002642,8.0100000000,8.1700000000,7.9800000000,8.1600000000,28139300,228107738.5000,4.253300,1.492500
2025-08-07,sz.002642,8.1400000000,8.2300000000,8.1100000000,8.1900000000,24801250,202799790.5000,3.748800,0.367600
2025-08-08,sz.002642,8.1600000000,8.1700000000,8.0000000000,8.0000000000,21120400,169719507.0000,3.192400,-2.319900
2025-08-11,sz.002642,8.0000000000,8.1600000000,7.9900000000,8.1600000000,20671400,167724708.0000,3.124500,2.000000
2025-08-12,sz.002642,8.1500000000,8.2100000000,8.0800000000,8.1200000000,13839500,112553219.0000,2.091900,-0.490200
2025-08-13,sz.002642,8.1300000000,8.1800000000,8.0600000000,8.1300000000,20938700,170103607.0000,3.165000,0.123200
2025-08-14,sz.002642,8.1100000000,8.1500000000,7.9200000000,7.9400000000,23345650,187467622.5000,3.528800,-2.337000
